Id
Joseph Sambrook
Etienne Lefebvre
Martyn Winn
Charles Ballard
Kevin Cowtan
E.J. Dodson
Paul Emsley
Phil Evans
Ronan M. Keegan
Eugene Krissinel
Andrew G. W. Leslie
Airlie J. McCoy
Stuart McNicholas
Garib N. Murshudov
Neesh Pannu
Elizabeth Potterton
Harold R. Powell
Randy J. Read
Alexei A. Vagin
Keith S. Wilson
Paul D. Adams
Ralf W. Grosse‐Kunstleve
Li‐Wei Hung
Thomas R. Ioerger
Nigel W. Moriarty
James C. Sacchettini
Nicholas K. Sauter
Thomas C. Terwilliger
Yingyao Zhou
Bin Zhou
Lars Pache
Max W. Chang
Alireza Hadj Khodabakhshi
Olga Tanaseichuk
Christopher Benner
Sumit K. Chanda
Robert Gentleman
Vincent J. Carey
Douglas M. Bates
Ben Bolstad
Marcel Dettling
Sandrine Dudoit
Byron Ellis
Laurent Gautier
Yongchao Ge
Jeff Gentry
Kurt Hornik
Torsten Hothorn
Wolfgang Huber
Stefano M. Iacus
Rafael A. Irizarry
Friedrich Leisch
Cheng Li
Martin Maechler
Anthony Rossini
Günther Sawitzki
Colin A. Smith
Gordon K. Smyth
Luke Tierney
Jean Yang
Jianhua Zhang
Ross Ihaka
Simon Anders
Marc Carlson
Benilton S. Carvalho
Sean Davis
Laurent Gatto
Thomas Girke
Raphaël Gottardo
Florian Hahne
Kasper D. Hansen
Michael Lawrence
Michael I. Love
James W. MacDonald
Valerie Obenchain
Andrzej K. Oleś
Hervé Pagès
Alejandro Reyes
Paul Shannon
Dan Tenenbaum
Martin Morgan
Ingo Feinerer
David Meyer
Steffen Durinck
Paul T. Spellman
Ricard Argelaguet
Britta Velten
Damien Arnol
Sascha Dietrich
Thorsten Zenz
John C. Marioni
Florian Buettner
Oliver Stegle
Zefang Tang
Chenwei Li
Boxi Kang
Ge Gao
Zemin Zhang
Ricardo Baeza‐Yates
Berthier Ribeiro‐Neto
Sophie Walter
Daniel Altman
Virginia Braun
Victoria Clarke
Nikki Hayfield
Gareth Terry
Elicia Boulton
Louise Davey
Charlotte McEvoy
Geert Litjens
Thijs Kooi
Babak Ehteshami Bejnordi
Arnaud A. A. Setio
Francesco Ciompi
Mohsen Ghafoorian
Jeroen van der Laak
Bram van Ginneken
Clara I. Sá‎nchez
Herbert A. Simon
Allen Newell
James Larkin
John McDermott
Dorothea P. Simon
Noel Gorelick
M. Hancher
Mike Dixon
Simon Ilyushchenko
David Thau
Rebecca Moore
André Tessier
Peter G. C. Campbell
M. B�isson
Luc Anselin
Zoltán J. Ács
Attila Varga
Edward T. Bullmore
Olaf Sporns
Emily A. Holmes
Rory C. O’Connor
V. Hugh Perry
Irene Tracey
Simon Wessely
Louise Arseneault
Clive Ballard
Helen Christensen
Roxane Cohen Silver
Ian Everall
Tamsin Ford
Ann John
Thomas Kabir
Kate King
Ira Madan
Susan Michie
Andrew K Przybylski
Roz Shafran
Angela Sweeney
Carol M. Worthman
Lucy Yardley
Katherine Cowan
Claire Cope
Matthew Hotopf
Giulio Tononi
Rolf Kötter
Danielle S. Bassett
Chengjie Chen
Hao Chen
Yi Zhang
Hannah Rae Thomas
Margaret H. Frank
Yehua He
Rui Xia
Ya Wu
Jiawei Li
Xiao Wang
Zaohai Zeng
Jing Xu
Yuanlong Liu
Junting Feng
Alfred Menezes
Scott A. Vanstone
Paul C. van Oorschot
Ensheng Dong
Hongru Du
Lauren Gardner
Mark A. Miller
Wayne Pfeiffer
Terri Schwartz
William DeLone
Ephraim R. McLean
Massimo Aria
Corrado Cuccurullo
Stefano Boccaletti
Vito Latora
Yamir Moreno
Mario Chávez
Dong‐Uk Hwang
Ginestra Bianconi
Regino Criado
Charo I. del Genio
Jesús Gómez‐Gardeñes
Miguel Romance
I. Sendiña–Nadal
Z. Wang
Massimiliano Zanin
Àlex Arenas
Albert Dı́az-Guilera
Jürgen Kurths
Changsong Zhou
Joseph L. Schafer
J. A. Graham
Anubhav Jain
Shyue Ping Ong
Geoffroy Hautier
Wei Chen
William D. Richards
Stephen Dacek
Shreyas Cholia
Dan Gunter
David Skinner
Gerbrand Ceder
Kristin A. Persson
Petr Danecek
James Bonfield
Jennifer Liddle
John Marshall
Valeriu Ohan
Martin Pollard
Andrew Whitwham
Thomas Keane
Shane McCarthy
Robert M. Davies
Heng Li
Gerry P. Quinn
Michael J. Keough
William H. Press
Brian P. Flannery
Saul A. Teukolsky
William T. Vetterling
Harvey Gould
Eric R. Ziegel
Chris Birchenhall
J. David Singer
John B. Willett
Murray Aitkin
John D. Kalbfleisch
Ross L. Prentice
Judea Pearl
James M. Robins
Varun Chandola
Arindam Banerjee
Vipin Kumar
Gediminas Adomavičius
Alexander Tuzhilin
Bamshad Mobasher
Francesco Ricci⋆
Alex Tuzhilin
Michael D. Buhrmester
Tracy Kwang
Samuel D. Gosling
Connor Shorten
Taghi M. Khoshgoftaar
Borko Furht
Karl R. Weiss
Dingding Wang
Xiaoyuan Su
Maryam M. Najafabadi
Flavio Villanustre
Naeem Seliya
Randall Wald
Edin Muharemagic
Justin Johnson
John Hancock
Lorelli Nowell
Jill M. Norris
Deborah White
Nancy J. Moules
Jennifer Fereday
Eimear Muir‐Cochrane
Noel M. O’Boyle
Michael Banck
Craig A. James
Chris Morley
Tim Vandermeersch
Geoffrey Hutchison
Tanya Barrett
Stephen E. Wilhite
Pierre Ledoux
Carlos Evangelista
Irene F. Kim
Maxim Tomashevsky
Kimberly A. Marshall
Katherine Phillippy
Patti M. Sherman
Michelle Holko
Andrey Yefanov
Hyeseung Lee
Naigong Zhang
C. Robertson
Nadezhda Serova
Alexandra Soboleva
Emily Clough
D. B. Troup
S. E. Wilhite
C. Evangelista
Philip M. Sherman
R. N. Muertter
Oluwabukunmi Ayanbule
А. Г. Соболева
Alvis Brāzma
Pascal Hingamp
John Quackenbush
Gavin Sherlock
C. J. Stoeckert
John Aach
Wilhelm Ansorge
Catherine A. Ball
Helen C. Causton
Terry Gaasterland
Patrick Glenisson
Frank C. P. Holstege
John C. Matese
Helen Parkinson
Alan J. Robinson
Uğis Sarkans
Steffen Schulze-Kremer
Jason Stewart
Ronald C. Taylor
Jaak Vilo
Martin Vingron
Paul S. Meltzer
Barry J. Everitt
Sabine Landau
Morven Leese
editors-in-chief
David C. Howell
Peter Rice
Ian Longden
Alan J. Bleasby
Ronald Azuma
Yohan Baillot
Reinhold Behringer
Steven Feiner
Simon Julier
Blair MacIntyre
Anna B. Costello
Jason W. Osborne
Gary C. Moore
Izak Benbasat
Charles E. Osgood
George J. Suci
Percy H. Tannenbaum
Hevner
March March
Jinsoo Park
Ram Ram
Alan R. Hevner
Salvatore T. March
Sudha Ram
Jane Elith
Catherine H. Graham
Robert P. Anderson
Miroslav Dudı́k
Simon Ferrier
Antoine Guisan
Robert J. Hijmans
Falk Huettmann
John R. Leathwick
Anthony Lehmann
Jin Li
Lúcia G. Lohmann
Bette A. Loiselle
Glenn Manion
Craig Moritz
Miguel Nakamura
Yoshinori Nakazawa
Jacob McC. Overton
A. Townsend Peterson
Steven J. Phillips
Karen Richardson
Ricardo Scachetti‐Pereira
Robert E. Schapire
Jorge Soberón
Stephen E. Williams
Mary S. Wisz
Niklaus E. Zimmermann
Falk Huettman
Wilfried Thuiller
Robin Whittemore
Kathleen A. Knafl
Maria J. Grant
Andrew Booth
Alison Cooke
Debbie Smith
Nicola Gale
Gemma Heath
Elaine Cameron
Sabina Faiz Rashid
Sabi Redwood
Santo Fortunato
Claudio Castellano
Vittorio Loreto
Darko Hric
Lawrence A. Palinkas
Sarah McCue Horwitz
Carla A. Green
Jennifer P. Wisdom
Naihua Duan
Kimberly Hoagwood
Bridget C. O’Brien
Ilene Harris
Thomas J. Beckman
Darcy A. Reed
David A. Cook
Haibo He
Edwardo A. Garcia
Naveen Donthu
Satish Kumar
Debmalya Mukherjee
Nitesh Pandey
Weng Marc Lim
Eric D. Green
Mark S. Guyer
Michael J. Morgan
A.A.N. Patrinos
Gonçalo R. Abecasis
Julian Little
Joel N. Hirschhorn
Annalisa Buniello
Jacqueline MacArthur
María Cerezo
Laura W. Harris
James Hayhurst
Claudio Malangone
Aoife McMahon
Joannella Morales
Edward Mountjoy
Elliot Sollis
Dániel Süveges
Olga Vrousgou
Ridwan Amode
José Ángel Guillén
Peggy Hall
Heather Junkins
Tony Burdett
Emily Bowler-Barnett
Emma Hastings
Annalisa Milano
Zoë May Pendlington
Danielle Welter
Abayomi Mosaku
Ala Abid
Tudor Groza
Osman Güneş
Arwa Ibrahim
Yue Ji
Sajo John
Elizabeth Lewis
David Osumi-Sutherland
Kalliope Panoutsopoulou
Santhi Ramachandran
Ray Stefancsik
Jonathan Stewart
Robert Wilson
Samuel A. Lambert
Michael Inouye
Naomi R. Wray
Qian Zhang
Pamela Sklar
Matthew A. Brown
Jian Yang
Catherine Pope
Nicholas Mays
Jennie Popay
A. Colin Cameron
Pravin K. Trivedi
Michael I. Jordan
Tom M. Mitchell
Hadley Wickham
Garrett Grolemund
Shirley Gregor
Samir Chatterjee
Gerald F. Smith
Jeffrey G. Andrews
Stefano Buzzi
Wan Choi
Stephen V. Hanly
Angel Lozano
Anthony C. K. Soong
Jianzhong Charlie Zhang
Philip H. Ramsey
Daniel S. Wilks
Joseph F. Hair
G. Tomas M. Hult
Christian M. Ringle
Marko Sarstedt
Joe F. Hair
Lucy M. Matthews
George Davey Smith
A. N Phillips
Stan Peart
P J Brennan
Paula Broughton
C. T. Dollery
Matthew F. Hudson
A.F. Lever
T W Meade
G Rose
M. L. Williams
Robert F. Landel
John D. Ferry
Stefka Tyanova
Tikira Temu
Pavel Sinitcyn
Arthur Carlson
Marco Y. Hein
Tamar Geiger
Matthias Mann
Jürgen Cox
Yasset Pérez‐Riverol
Attila Csordás
Jingwen Bai
Manuel Bernal Llinares
Suresh Hewapathirana
Deepti J Kundu
Avinash Inuganti
Johannes Griss
Gerhard Mayer
Martin Eisenacher
Enrique Pérez
Julian Uszkoreit
Julianus Pfeuffer
Timo Sachsenberg
Şule Yılmaz
Shivani Tiwary
Enrique Audain
Mathias Walzer
Andrew F. Jarnuczak
Tobias Ternent
Juan Antonio Vizcaíno
Minqing Hu
Bing Liu
Junsheng Cheng
Lei Zhang
Shuai Wang
Masatoshi Nei
Sudhir Kumar
M Nei
Joel T. Dudley
Koichiro Tamura
S. Blair Hedges
Emmanuel Paradis
Klaus Schliep
Ala Al‐Fuqaha
Mohsen Guizani
Mehdi Mohammadi
Mohammed Aledhari
Moussa Ayyash
Sameh Sorour
R. Dale Wilson
John W. Creswell
Michael D. Fetters
Leslie Curry
Nataliya V. Ivankova
Sheldon L. Stick
Ann C. Klassen
Vicki L. Plano Clark
Katherine Clegg Smith
Timothy C. Guetterman
D.B. Miracle
O.N. Senkov
Alain F. Zuur
Elena N. Ieno
Chris S. Elphick
Mojtaba Vaismoradi
Hannele Turunen
Terese Bondas
Denise F. Polit
Cheryl Tatano Beck
Pang‐Ning Tan
Michael M. Steinbach
Jaideep Srivastava
Robert Cooley
Mukund Deshpande
Michael Steinbach
Robert J. Gillies
Paul E. Kinahan
Hedvig Hricak
Oliver P. John
Sanjay Srivastava
Laura P. Naumann
Christopher J. Soto
Harry T. Reis
John A. Bargh
Susan T. Fiske
Marilynn B. Brewer
Eliot R. Smith
Stephen G. West
Elizabeth Levy Paluck
Jim Blascovich
Elliot T. Berkman
Eric Turkheimer
Norbert L. Kerr
Karen S. Quigley
Michael J. Richardson
Bertram Gawronski
Richard E. Heyman
Jon A. Krosnick
Michael R. Maniaci
Leandre R. Fabrigar
Keith F. Widaman
Pamela Baxter
Susan M. Jack
Bo Pang
Lillian Lee
Reinhard F. Stocker
D Qin
Gian‐Kasper Plattner
Melinda Tignor
Steve Allen
Judith Boschung
T. F. Stocker
S. Allen
Alexander Nauels
Yubin Xia
Vincent Bex
Pauline M. Midgley
Meredith Collins
Reto Knutti
Julie M. Arblaster
Jean‐Louis Dufresne
Thierry Fichefet
Pierre Friedlingstein
Michael Wehner
Thomas F. Stocker
Simon J. Allen
F. M. Midgley
Allen Sk
SG Allen
Richard G. Côté
José A. Dianes
Antonio Fabregat
Joseph Foster
Emanuele Alpi
Melih Birim
Javier Contell
Gavin O’Kelly
Andreas Schoenegger
David Ovelleiro
Florian Reisinger
Daniel Ríos
Rui Wang
Eric W. Deutsch
Zhi Sun
Terry Farrah
Pierre‐Alain Binz
Ioannis Xénarios
Alex Campos
Robert J. Chalkley
Hans‐Joachim Kraus
Juan Pablo Albar
Salvador Martínez‐Bartolomé
Rolf Apweiler
Gilbert S. Omenn
Lennart Martens
Andrew R. Jones
Chris Beaumont
D. A. Belsley
E. Kuh
R. E. Welsch
Alejandro Barredo Arrieta
Natalia Díaz-Rodríguez
Javier Del Ser
Adrien Bennetot
Siham Tabik
Alberto Barbado
Salvador García
Sergio Gil-López
Daniel Molina
Richard Benjamins
Raja Chatila
Francisco Herrera
Julián Luengo
Manuel J. Cobo
A.G. López‐Herrera
Enrique Herrera–Viedma
Nathalie Percie du Sert
Viki Hurst
Amrita Ahluwalia
Sabina Alam
Marc T. Avey
Monya Baker
Alejandra Clark
Ulrich Dirnagl
Paul Garner
Stephen T. Holgate
David W. Howells
Natasha A. Karp
Stanley E. Lazic
Katie Lidster
Catriona J. MacCallum
Esther J. Pearl
Ole H. Petersen
Frances Rawle
Penny S. Reynolds
Kieron Rooney
Emily S. Sena
Shai D. Silberberg
Thomas Steckler
Hanno Würbel
Gibran Hemani
Jie Zheng
Benjamin Elsworth
Kaitlin H. Wade
Valeriia Haberland
Denis Baird
Charles Laurin
Stephen Burgess
Jack Bowden
Ryan Langdon
Vanessa Y. Tan
James Yarmolinsky
Hashem A. Shihab
Nicholas J. Timpson
David M. Evans
Caroline L. Relton
Richard M. Martin
Tom R. Gaunt
Philip Haycock
Debbie A. Lawlor
Kate Tilling
Peter Bankhead
Maurice B. Loughrey
José A. Fernández
Yvonne Dombrowski
Darragh G. McArt
Philip D. Dunne
Stephen McQuaid
Ronan T. Gray
Liam Murray
Helen G. Coleman
Jacqueline A. James
Manuel Salto‐Tellez
Peter W. Hamilton
Eric Bonabeau
Marco Dorigo
Guy Théraulaz
Tim P. Morris
Michael J. Crowther
J. N. S. Matthews
D G Altman
Michael J. Campbell
Jeffrey O. Kephart
David M. Chess
Ken Peffers
Tuure Tuunanen
Marcus A. Rothenberger
Franz Baader
Diego Calvanese
Deborah L. McGuinness
Daniele Nardi
Peter F. Patel‐Schneider
Paul Knochel
Gary A. Molander
Wenyi Zhao
Rama Chellappa
P. Jonathon Phillips
Azriel Rosenfeld
Pavan Turaga
V. S. Subrahmanian
Octavian Udrea
Franz Urban Pappi
D. R. Cox
David Oakes
N. E. Breslow
Jane Webster
Richard T. Watson
Micah D.J. Peters
Christina Godfrey
Hanan Khalil
Patricia McInerney
Deborah Parker
Cássia Baldini Soares
Todd D. Little
Golan Shahar
R. Bechmann
R. F. S. Hearmon
S. K. Kurtz
Rui Xu
D. WunschII
Michael J. Pencina
Ralph B. D' Agostino
Ramachandran S. Vasan
Rajkumar Buyya
Chee Shin Yeo
Srikumar Venugopal
James Broberg
Ivona Brandić
Harshit Gupta
Amir Vahid Dastjerdi
Soumya K. Ghosh
Fred Glover
Manuel Laguna
Carlos González
H. Bernhard Schlegel
Neil Greenberg
Mary Docherty
Sam Gnanapragasam
Sujeevan Ratnasingham
Paul D. N. Hebert
Paul D. N. H Ebert
John Lofland
Toby S. Levy
Shyam R. Chidamber
Chris F. Kemerer
Steven W. Kembel
Peter D. Cowan
Matthew R. Helmus
William K. Cornwell
Hélène Morlon
David D. Ackerly
Simon P. Blomberg
Campbell O. Webb
O. Redlich
A. T. Kister
Norman C. Dalkey
Olaf Helmer
Stéphane Dray
Anne‐Béatrice Dufour
Chen
Chiang
Storey
Laith Alzubaidi
Jinglan Zhang
Amjad J. Humaidi
Ayad Q. Al-Dujaili
Ye Duan
Omran Al-Shamma
José Santamaría
Mohammed A. Fadhel
Muthana Al‐Amidie
Laith Farhan
Saul Shiffman
Arthur A. Stone
Michael R. Hufford
Daniel Kahneman
Alan B. Krueger
David Schkade
Norbert Schwarz
Roy M. Anderson
Robert M. May
Jacopo Tomasi
Maurizio Persico
Michael Waskom
Christopher D. Burns
Cindee Madison
Dav Clark
Yaroslav O. Halchenko
Satrajit Ghosh
Thomas A. Bubolz
W. J. Dixon
Gergely Palla
Imre Derényi
Illés J. Farkas
Tamás Vicsek
H. Russell Bernard
Gery W. Ryan
Lisa M. Given
Donald O. Case
Greg Linden
Brent Smith
Jeremy York
A. Krämer
Jeff Green
Jack Pollard
Stuart Tugendreich
Ivan Župič
Tomaž Čater
Heinz K. Klein
Michael Myers
Chaomei Chen
Zhigang Hu
Shengbo Liu
Hung Tseng
Min Song
Elisabeth Gasteiger
Alex Bateman
María Martín
Sandra Orchard
Michele Magrane
Shadab Ahmad
Ramona Britto
Hema Bye‐A‐Jee
Austra Cukura
Paul Denny
Tunca Doğan
ThankGod E. Ebenezer
Jun Fan
Penelope Garmiri
Leonardo Jose da Costa Gonzales
Emma Hatton-Ellis
Abdulrahman Hussein
Alexandr Ignatchenko
Giuseppe Insana
Rizwan Ishtiaq
Vishal Joshi
Dushyanth Jyothi
Swaathi Kandasaamy
Antonia Lock
Aurélien Luciani
Marija Lugaric
Jie Luo
Yvonne Lussi
Alistair MacDougall
Fábio Madeira
Mahdi Mahmoudy
Alok Mishra
Katie Moulang
Andrew Nightingale
Sangya Pundir
Guoying Qi
Shriya Raj
Pedro Raposo
Daniel L Rice
Rabie Saidi
Rafael Santos
Elena Speretta
James Stephenson
Prabhat Totoo
E. B. Turner
Nidhi Tyagi
Preethi Vasudev
Kate Warner
Xavier Watkins
Rossana Zaru
Hermann Zellner
Alan Bridge
Lucila Aimo
Ghislaine Argoud‐Puy
Andrea H Auchincloss
Kristian B. Axelsen
Parit Bansal
Delphine Baratin
Teresa M Batista Neto
Marie-Claude Blatter
Jerven Bolleman
Emmanuel Boutet
Lionel Breuza
Blanca Cabrera Gil
Cristina Casals‐Casas
Kamal Chikh Echioukh
Elisabeth Coudert
Beatrice Cuche
Edouard de Castro
Anne Estreicher
Maria Livia Famiglietti
Marc Feuermann
Pascale Gaudet
Sébastien Géhant
Vivienne Baillie Gerritsen
Arnaud Gos
Nadine Gruaz
Chantal Hulo
Nevila Hyka‐Nouspikel
Florence Jungo
Arnaud Kerhornou
Philippe Le Mercier
Damien Lieberherr
Patrick Masson
Anne Morgat
Venkatesh Muthukrishnan
Salvo Paesano
Ivo Pedruzzi
Sandrine Pilbout
Lucille Pourcel
Sylvain Poux
Monica Pozzato
Manuela Pruess
Nicole Redaschi
Catherine Rivoire
Christian Sigrist
Karin Sonesson
Shyamala Sundaram
Panu Artimo
Murthy V. Jonnalagedda
Konstantin Arnold
Gábor Csárdi
Séverine Duvaud
Volker Flegel
Andrés Fortier
Aurélien Grosdidier
Céline Hernandez
Vassilios Ioannidis
Dmitry Kuznetsov
Robin Liechti
Sébastien Moretti
Khaled Mostaguir
Grégoire Rossier
Heinz Stockinger
Skipper Seabold
Josef Perktold
Kathryn Tunyasuvunakool
Jonas Adler
Zachary Wu
Tim Green
Michał Zieliński
Augustin Žídek
Alex Bridgland
Andrew Cowie
Clemens Meyer
Agata Laydon
Sameer Velankar
Gerard J. Kleywegt
K Taki
Alexander Pritzel
Michael Figurnov
Olaf Ronneberger
Russ Bates
Simon Köhl
Anna Potapenko
Andrew J. Ballard
Bernardino Romera‐Paredes
Stanislav Nikolov
Rishub Jain
Ellen Clancy
David Reiman
Stig Petersen
Andrew Senior
Koray Kavukcuoglu
Pushmeet Kohli
John Jumper
Demis Hassabis
Sarah Hunter
P. Jones
Alex Mitchell
Teresa K. Attwood
Thomas Bernard
David Binns
Peer Bork
Sarah Burge
P. Coggill
M. Corbett
Ujjwal Das
Louise C. Daugherty
L. Duquenne
ROBERT FINN
Matthew Fraser
Julian Gough
Daniel H. Haft
Nicolas Hulo
Daniel Kahn
Elizabeth A. Kelly
Ivica Letunić
D. Lonsdale
Rodrigo López
M. Madera
J. Maslen
C. McAnulla
J. McDowall
C. McMenamin
Huaiyu Mi
Prudence Mutowo
Nicola Mulder
Darren A. Natale
Christine Orengo
Sebastien Pesseat
Marco Punta
A. F. Quinn
Amaia Sangrador‐Vegas
Maxim Scheremetjew
John Tate
M. Thimmajanarthanan
Paul D. Thomas
Cathy Wu
C. Yeats
Siew-Yit Yong
Seth Carbon
Eric Douglass
Benjamin M. Good
Deepak Unni
Nomi L. Harris
Siddartha Basu
Rex L. Chisholm
Robert J. Dodson
Eric C Hartline
Petra Fey
Laurent‐Philippe Albou
Dustin Ebert
Michael J Kesling
Anushya Muruganujan
Xiaosong Huang
Tremayne Mushayahama
Sandra LaBonte
Deborah A. Siegele
Giulia Antonazzo
Helen Attrill
Nicholas H. Brown
Phani Garapati
Steven J Marygold
Vítor Trovisco
Gil dos Santos
Kathleen Falls
Christopher J Tabone
Pinglei Zhou
Joshua L. Goodman
Victor Strelets
Jim Thurmond
M. Rodríguez-López
Márcio Luís Acencio
Martin Kuiper
Astrid Lægreid
Colin Logie
Ruth C. Lovering
Barbara Kramarz
Shirin C C Saverimuttu
Sandra De Miranda Pinheiro
Heather Gunn
Renzhi Su
Kate E. Thurlow
Marcus C. Chibucos
Suvarna Nadendla
James B. Munro
Rebecca Jackson
Margaret Duesbury
Noemí del‐Toro
Birgit Meldal
Kalpana Paneerselvam
Livia Perfetto
Pablo Porras
Anjali Shrivastava
Hsin-Yu Chang
Neil D. Rawlings
Lorna Richardson
Judith A. Blake
Karen Christie
M. Eileen Dolan
Harold Drabkin
David P. Hill
Li Ni
Dmitry Sitnikov
Midori A. Harris
Stephen G. Oliver
Kim Rutherford
Valerie Wood
Jaqueline Hayles
Jürg Bähler
Elizabeth R. Bolton
Jeffery L De Pons
Melinda R. Dwinell
G. Thomas Hayman
Mary L. Kaldunski
Anne E. Kwitek
Stanley J. F. Laulederkind
Cody Plasterer
Marek Tutaj
Mahima Vedi
Shur‐Jen Wang
Peter D’Eustachio
Lisa Matthews
James P. Balhoff
Suzi Aleksander
Michael J. Alexander
J. Michael Cherry
Stacia R. Engel
Felix Gondwe
Kalpana Karra
Raymond Lee
Sierra Moxon
Anushya Muruganugan
Paul W. Sternberg
Kimberly Van Auken
Jolene Ramsey
Maria Cristina Aspromonte
María Victoria Nugnes
Federica Quaglia
Silvio C. E. Tosatto
Saadullah H. Ahmed
Praoparn Asanitthong
Diana Luna Buitrago
Meltem N Erdol
Matthew Gage
Mohamed Ali Kadhum
Kan Yan Chloe Li
Miao Long
Aleksandra Michalak
Angeline Pesala
Armalya Pritazahra
Snezhana Oliferenko
Lori E Corbani
Cynthia L. Smith
Alayne Cuzick
James Seager
Laurel Cooper
Justin Elser
Pankaj Jaiswal
Parul Gupta
Sushma Naithani
Manuel Lera-Ramírez
Jeffrey L De Pons
Stuart R. Miyasato
Robert S Nash
Marek S. Skrzypek
Shuai Weng
Edith D. Wong
Erika Bakker
Tanya Berardini
J Clark
Jane Lomax
Rebecca E. Foulger
S. Lewis
Brad Marshall
J Richter
Gerald M. Rubin
Carol J. Bult
Janan T. Eppig
L. Ni
Martin Ringwald
Rama Balakrishnan
Maria C. Costanzo
Selina S. Dwight
D. G. Fisk
Jodi Hirschman
Eurie L. Hong
Anand Sethuraman
Chandra L. Theesfeld
David Botstein
Kara Dolinski
Becket Feierbach
Suparna Mundodi
Soo‐Yon Rhee
Evelyn Camon
Emily Dimmer
Vivian Lee
Warren A. Kibbe
Ranjana Kishore
Erich M. Schwarz
Marta Gwinn
Linda I. Hannick
Matthew Berriman
Norie De La Cruz
Peter J. Tonellato
Trent E. Seigfried
Ryen W. White
R. J. Kinsella
Syed Haider
Jorge Zamora
Glenn Proctor
J. P. Almeida
D. Staines
Paul Derwent
Paul Kersey
danah boyd
Kate Crawford
Gary F. Moore
Suzanne Audrey
Mary Barker
Lyndal Bond
Chris Bonell
Wendy Hardeman
Laurence Moore
Alicia O’Cathain
Tannaze Tinati
Daniel Wight
Janis Baird
Kathryn Skivington
Lynsay Matthews
Sharon Simpson
Peter Craig
Jane Blazeby
Kathleen Boyd
Neil Craig
David French
Emma McIntosh
Mark Petticrew
Jo Rycroft‐Malone
Martin White
Elizabeth Murphy
Jon Nicholl
Yvan Saeys
Iñaki Inza
Pedro Larrañaga
Thomas D. Goddard
Conrad C. Huang
Elaine C. Meng
Eric F. Pettersen
Gregory S. Couch
John H. Morris
Thomas E. Ferrin
Nadezhda T. Doncheva
Jan Gorodkin
Lars Juhl Jensen
David Otasek
Jorge Bouças
Alexander R. Pico
Barry Demchak
J M. Bland
David Altman
Anind K. Dey
Gregory D. Abowd
Peter J. Brown
Nigel Davies
Mark T. Smith
Pete Steggles
Daniel Salber
P. J. Brown
Mark A. Smith
Fuzhen Zhuang
Zhiyuan Qi
Keyu Duan
Dongbo Xi
Yongchun Zhu
Hengshu Zhu
Hui Xiong
Qing He
Matthias Bernt
Alexander Donath
Frank Jühling
Fabian Externbrink
Catherine Florentz
Guido Fritzsch
Joern Pütz
Martin Middendorf
Peter F. Stadler
Enis Afgan
Anton Nekrutenko
Björn Grüning
Daniel Blankenberg
Jeremy Goecks
Michael C. Schatz
Alexander Ostrovsky
Alexandru Mahmoud
Andrew Lonie
Anna Syme
Anne Fouilloux
Anthony Bretaudeau
Anup Kumar
Arthur C. Eschenlauer
Assunta D DeSanto
Aysam Guerler
Beatriz Serrano‐Solano
Bérénice Batut
Bradley W. Langhorst
Bridget Carr
Bryan Raubenolt
Cameron Hyde
Catherine J. Bromhead
Christopher B. Barnett
Coline Royaux
Cristóbal Gallardo
Daniel Fornika
Dannon Baker
Dave Bouvier
Dave Clements
David Anderson de Lima Morais
David López Tabernero
Delphine Larivière
Engy Nasr
Federico Zambelli
Florian Heyl
Fotis Psomopoulos
Frederik Coppens
Gareth Price
Gianmauro Cuccuru
Gildas Le Corguillé
Greg Von Kuster
Gulsum Gudukbay Akbulut
Helena Rasche
Hans-Rudolf Hotz
Ignacio Eguinoa
Igor V. Makunin
Isuru Ranawaka
James Taylor
Jayadev Joshi
Jennifer Hillman‐Jackson
John Chilton
Kaivan Kamali
Keith Suderman
Krzysztof Poterlowicz
Le Bras Yvan
Lucille Lopez‐Delisle
Luke Sargent
Madeline E. Bassetti
M. A. Tangaro
Marius van den Beek
Martin Čech
Matthias Fahrner
Mehmet Tekman
Melanie Christine Föll
Michael R. Crusoe
Miguel Roncoroni
Natalie Kucher
Nate Coraor
Nicholas Stoler
Nick Rhodes
Nicola Soranzo
Niko Pinter
Nuwan Goonasekera
Pablo Moreno
Pavankumar Videm
Mélanie Pétéra
Pietro Mandreoli
Pratik Jagtap
Qiang Gu
Ralf J. M. Weber
Ross Lazarus
Ruben H.P. Vorderman
Saskia Hiltemann
Sergey Golitsynskiy
Shilpa Garg
Simon Bray
Simon Gladman
Simone Leo
Subina Mehta
Timothy J. Griffin
Vahid Jalili
Yves Vandenbrouck
Antoine Bordes
Nicolas Usunier
Alberto García-Durán
Jason Weston
Oksana Yakhnenko
Peter Spirtes
Clark Glymour
Richard Scheines
Keith F. Punch
Alis Oancea
Martı́n Abadi
Andy Chu
H. Brendan McMahan
Ilya Mironov
Kunal Talwar
Li Zhang
Elizabeth A. Stuart
Melissa Azur
Constantine Frangakis
Philip J. Leaf
Li Da Xu
Wu He
Shancang Li
Shanshan Zhao
Andrew Whitmore
Anurag Agarwal
James R. Anderson
E. E. Hardy
John T. Roach
Richard E. Witmer
Usama M. Fayyad
Gregory Piatetsky-Shapiro
Padhraic Smyth
William Frawley
Christopher J. Matheus
David J. Hand
Heikki Mannila
Richard A. Reyment
J. C. Davis
Amina Adadi
Mohammed Berrada
