Work_ID,Title,Year,Cited_by,Authors,Author_IDs,Concepts
W2770026599,ClinVar: improving access to variant interpretations and supporting evidence,2017,3751,Melissa Landrum; Jennifer M. Lee; Mark J. Benson; Garth Brown; Chao Chen; Shanmuga Chitipiralla; Baoshan Gu; Jennifer Hart; Douglas Hoffman; Wonhee Jang; K. V. Karapetyan; Kenneth Katz; Chunlei Liu; Zenith Maddipatla; Adriana Malheiro; Kurt McDaniel; Michael Ovetsky; George Riley; George Zhou; J. Bradley Holmes; B Kattman; Donna Maglott,A5054735767; A5062765884; A5031610787; A5112057091; A5100408358; A5024010735; A5108252701; A5061415371; A5083383030; A5016265803; A5032678781; A5082816368; A5100719415; A5012476601; A5085880705; A5016737346; A5007962634; A5037145364; A5086125770; A5103122850; A5089306740; A5018295094,Set (abstract data type); Interpretation (philosophy); Information retrieval
W2050401924,Interpretive case studies in IS research: nature and method,1995,3745,Geoff Walsham,A5011195801,Soft systems methodology; Strategic information system; Information system
W2516809705,“Why Should I Trust You?”: Explaining the Predictions of Any Classifier,2016,3744,Marco Ribeiro; Sameer Singh; Carlos Guestrin,A5091368088; A5005779128; A5090739892,Computer science; Classifier (UML); Artificial intelligence
W2884430236,Machine learning for molecular and materials science,2018,3743,Keith T. Butler; Daniel W. Davies; Hugh Cartwright; Olexandr Isayev; Aron Walsh,A5039665389; A5101879560; A5082178535; A5011932992; A5035797693,Computer science; Field (mathematics); Data science
W2070783701,Dominant forces in protein folding,1990,3741,Ken A. Dill,A5079007135,Citation; Altmetrics; Icon
W1690919088,Recommender Systems Handbook,2010,3731,Francesco Ricci⋆; Lior Rokach; Bracha Shapira; Paul B. Kantor,A5090179530; A5012622155; A5086920790; A5070503927,Recommender system; Computer science; Explosive material
W1986721142,Heuristics and Biases: The Psychology of Intuitive Judgment,2004,3718,William P. Bottom; Thomas Gilovich; Dale W. Griffin; Daniel Kahneman,A5084244433; A5104044112; A5031159945; A5111995000,Heuristics; Psychology; Industrial and organizational psychology
W2151461605,Design and natural science research on information technology,1995,3715,Salvatore T. March; Gerald F. Smith,A5110036805; A5111977334,Dimension (graph theory); Design science; Natural (archaeology)
W2911709767,Robot Vision,1986,3714,Berthold K. P. Horn,A5080970223,Exploit; Computer science; Artificial intelligence
W2057327092,Achieving Integration in Mixed Methods Designs—Principles and Practices,2013,3704,Michael D. Fetters; Leslie Curry; John W. Creswell,A5052091173; A5005547439; A5025339678,Computer science; Data collection; Data integration
W2081465448,A cross-platform toolkit for mass spectrometry and proteomics,2012,3701,Matthew Chambers; Brendan MacLean; Robert Burke; Dario Amodei; Daniel Ruderman; Steffen Neumann; Laurent Gatto; Bernd Fischer; Brian Pratt; Jarrett D. Egertson; Katherine Hoff; Darren Kessner; Natalie Tasman; Nicholas Shulman; Barbara Frewen; Tahmina A Baker; Mi‐Youn Brusniak; Christopher Paulse; David M. Creasy; Lisa Flashner; Kian Kani; Chris Moulding; Sean L. Seymour; Lydia M. Nuwaysir; Brent Lefebvre; Frank E. Kuhlmann; Joe Roark; Rainer Paape; Detlev Suckau; Tina Hemenway; Andreas Hühmer; James Langridge; B. Connolly; Trey Chadick; Krisztina Holly; Josh Eckels; Eric W. Deutsch; Robert L. Moritz; Jonathan E. Katz; David B. Agus; Michael J. MacCoss; David L. Tabb; Parag Mallick,A5032364322; A5031754851; A5062774406; A5066197394; A5072855876; A5038786156; A5064560423; A5087826232; A5020721422; A5019552048; A5018908381; A5086343247; A5020317064; A5041963504; A5064153307; A5057067125; A5089866615; A5051188645; A5018415656; A5059293934; A5012170377; A5079011788; A5050639345; A5021916649; A5016249979; A5052840939; A5075126028; A5086028940; A5031770237; A5081980763; A5068529739; A5041411121; A5041660623; A5002084213; A5066599357; A5032682273; A5070102563; A5036737482; A5022615394; A5012095437; A5043959168; A5062939937; A5004807599,Proteomics; Computer science; Vendor
W2106568252,Running experiments on Amazon Mechanical Turk,2010,3699,Gabriele Paolacci; Jesse Chandler; Panagiotis G. Ipeirotis,A5050375077; A5070157740; A5010731709,Amazon rainforest; Subject (documents); Data science
W3135028703,"Machine Learning: Algorithms, Real-World Applications and Research Directions",2021,3680,Iqbal H. Sarker,A5055312229,Computer science; Artificial intelligence; Machine learning
W2664267452,"Artificial intelligence in healthcare: past, present and future",2017,3670,Fei Jiang; Yong Jiang; Hui Zhi; Yi Dong; Hao Li; Sufeng Ma; Yilong Wang; Qiang Dong; Haipeng Shen; Yongjun Wang,A5101990774; A5089804645; A5073314811; A5089047237; A5100348649; A5039990441; A5108749325; A5066750132; A5102900838; A5100424222,Cognitive computing; Health care; Data science
W1549664537,Information Theory: Coding Theorems for Discrete Memoryless Systems,2014,3666,Imre Csiszár; János Körner,A5026417214; A5081660521,Computer science; Information theory; Key (lock)
W1989299822,"MZmine 2: Modular framework for processing, visualizing, and analyzing mass spectrometry-based molecular profile data",2010,3663,Tomáš Pluskal; Sandra Castillo; Alejandro Villar‐Briones; Matej Orešič,A5088461185; A5059708829; A5023434061; A5083895460,Computer science; Modular design; Mass spectrometry
W1731457293,Panarchy: Understanding Transformations in Human and Natural Systems,2002,3659,Lance Gunderson; C. S. Holling,A5028246781; A5109276346,Natural (archaeology); Component (thermodynamics); Human systems engineering
W1767272795,The journal coverage of Web of Science and Scopus: a comparative analysis,2015,3657,Philippe Mongeon; Adèle Paul‐Hus,A5081963935; A5086152924,Scopus; Web of science; Directory
W2981096252,"A Vision of 6G Wireless Systems: Applications, Trends, Technologies, and Open Research Problems",2019,3656,Walid Saad; Mehdi Bennis; Mingzhe Chen,A5024108653; A5061429095; A5072241033,Software deployment; Computer science; Premise
W2969718750,Toward understanding the origin and evolution of cellular organisms,2019,3646,Minoru Kanehisa,A5058022821,KEGG; Data science; Resource (disambiguation)
W2798180542,Multivariate Models and Dependence Concepts.,1998,3644,Trevor J. Ringrose; Harry Joe,A5086146576; A5020713848,Interpretation (philosophy); Computer science; Multivariate statistics
W4247545505,Journal of Statistical Software,2009,3629,Jan de Leeuw,A5057009278,Statistical software; Computer science; Software
W1986240377,Docking and scoring in virtual screening for drug discovery: methods and applications,2004,3628,Douglas B. Kitchen; Hélène Decornez; John R. Furr; Jürgen Bajorath,A5007787716; A5015128478; A5017769291; A5039926688,Virtual screening; Drug discovery; DOCK
W2162739315,Guidelines for conducting and reporting case study research in software engineering,2008,3608,Per Runeson; Martin Höst,A5087032437; A5045592913,Terminology; Context (archaeology); Computer science
W1534612420,Foundations of Mixed Methods Research: Integrating Quantitative and Qualitative Approaches in the Social and Behavioral Sciences,2008,3601,Charles Teddlie; Abbas Tashakkori,A5031417842; A5113580354,Multimethodology; Management science; Qualitative research
W2166190112,Diary Methods: Capturing Life as it is Lived,2002,3586,Niall Bolger; Angelina Davis; Eshkol Rafaeli,A5054005844; A5017092996; A5040452693,Psychology; Interpersonal communication; Data collection
W2124298085,"The NBER Patent Citation Data File: Lessons, Insights and Methodological Tools",2001,3578,Bronwyn H. Hall; Adam B. Jaffe; Manuel Trajtenberg,A5012935802; A5022731487; A5070546728,Citation; Generality; Computer science
W2568842486,"Color Science, Concepts and Methods. Quantitative Data and Formulas",1967,3578,W. D. Wright,A5107833767,Subject (documents); Section (typography); Research council
W3133702157,On the Dangers of Stochastic Parrots,2021,3575,Emily M. Bender; Timnit Gebru; Angelina McMillan-Major; Shmargaret Shmitchell,A5023750515; A5089275971; A5063040968; A5012552350,Software deployment; Computer science; Stakeholder
W1989348205,The metagenomics RAST server – a public resource for the automatic phylogenetic and functional analysis of metagenomes,2008,3572,Folker Meyer; Daniel Paarmann; M. D'Souza; Richard E. Olson; EM Glass; Michael Kubal; Tobias Paczian; A. García-Rodríguez; Rick Stevens; Andreas Wilke; Jan Wilkening; Robert A. Edwards,A5086419862; A5052177616; A5078657740; A5074354123; A5111586696; A5006377909; A5029013346; A5074179848; A5053682943; A5027887614; A5067843643; A5036802114,Metagenomics; Pipeline (software); Computer science
W2042037135,Knowledge engineering: Principles and methods,1998,3572,Rudi Studer; V. Richard Benjamins; Dieter Fensel,A5039385406; A5059861745; A5103328740,Computer science; Knowledge engineering; Limiting
W3019350884,Risk‐of‐bias VISualization (robvis): An R package and Shiny web app for visualizing risk‐of‐bias assessments,2020,3567,Luke A. McGuinness; Julian P. T. Higgins,A5037094305; A5031195893,Timeline; Computer science; Visualization
W2414781026,DLS and zeta potential – What they are and what they are not?,2016,3562,Sourav Bhattacharjee,A5033265502,Nanotechnology; Zeta potential; Dynamic light scattering
W1567001300,Research in Education: Evidence Based Inquiry,2005,3556,James H. McMillan; Sally Schumacher,A5078699068; A5088028200,Glossary; Research design; Management science
W1579893055,Biogeochemistry: an Analysis of Global Change,1991,3555,William H. Schlesinger,A5047095703,Biogeochemistry; Global change; Oceanography
W2096812562,A Brief Tutorial on the Development of Measures for Use in Survey Questionnaires,1998,3549,Timothy R. Hinkin,A5017134860,Reliability (semiconductor); Psychology; Scale (ratio)
W2119362018,Recent developments in the MAFFT multiple sequence alignment program,2008,3537,Kazutaka Katoh; Hidehiro Toh,A5064063992; A5103330801,Scalability; Computer science; Consistency (knowledge bases)
W2725988230,"10 Years of GWAS Discovery: Biology, Function, and Translation",2017,3532,Peter M. Visscher; Naomi R. Wray; Qian Zhang; Pamela Sklar; Mark I. McCarthy; Matthew A. Brown; Jian Yang,A5020502354; A5064741640; A5100401607; A5113577680; A5064948585; A5006817439; A5100604690,Genome-wide association study; Computational biology; Translation (biology)
W2155430111,Conformational analysis. 130. MM2. A hydrocarbon force field utilizing V1 and V2 torsional terms,1977,3528,Norman L. Allinger,A5083305824,Citation; Icon; Computer science
W1973094248,Orchestrating high-throughput genomic analysis with Bioconductor,2015,3527,Wolfgang Huber; Vincent J. Carey; Robert Gentleman; Simon Anders; Marc Carlson; Benilton S. Carvalho; Héctor Corrada Bravo; Sean Davis; Laurent Gatto; Thomas Girke; Raphaël Gottardo; Florian Hahne; Kasper D. Hansen; Rafael A. Irizarry; Michael Lawrence; Michael I. Love; James W. MacDonald; Valerie Obenchain; Andrzej K. Oleś; Hervé Pagès; Alejandro Reyes; Paul Shannon; Gordon K. Smyth; Dan Tenenbaum; Levi Waldron; Martin Morgan,A5029601108; A5081015175; A5039040940; A5022280742; A5051884028; A5014248896; A5048253009; A5005450827; A5064560423; A5039923525; A5005741024; A5111953233; A5053857063; A5054612687; A5101458328; A5049770701; A5083726660; A5026029886; A5024900824; A5090946206; A5025595162; A5102926868; A5054704071; A5053080124; A5052283192; A5011002985,Bioconductor; Interoperability; Computer science
W2162661914,Features and uses of high-fidelity medical simulations that lead to effective learning: a BEME systematic review,2005,3524,S. Barry Issenberg; William C. McGaghie; Emil Petrusa; David Lee Gordon; Ross J. Scalese,A5004016084; A5028961881; A5028570025; A5103487114; A5015207834,PsycINFO; Data extraction; Computer science
W1564534945,Multiagent Systems : A Modern Approach to Distributed Artificial Intelligence,2000,3523,Gerhard Weiß,A5112071698,Field (mathematics); Computer science; Artificial intelligence
W2136482257,"Galaxy: a comprehensive approach for supporting accessible, reproducible, and transparent computational research in the life sciences",2010,3513,Jeremy Goecks; Anton Nekrutenko; James Taylor,A5031069551; A5065292926; A5025611053,Human genetics; Biology; Genome Biology
W2010049072,A refined compilation of implementation strategies: results from the Expert Recommendations for Implementing Change (ERIC) project,2015,3511,Byron J. Powell; Thomas J. Waltz; Matthew Chinman; Laura J. Damschroder; Jeffrey L. Smith; Monica M. Matthieu; Enola K. Proctor; JoAnn E. Kirchner,A5071362937; A5034643123; A5070859409; A5006302465; A5060229519; A5004318114; A5034275356; A5109934345,Computer science; CLARITY; Implementation research
W2081681829,Recurrence plots for the analysis of complex systems,2007,3510,Norbert Marwan; M. Carmen Romano; Marko Thiel; Jürgen Kurths,A5008750181; A5006279779; A5009164900; A5085207296,Recurrence quantification analysis; Recurrence plot; Dynamical systems theory
W2062631198,Multivariate Analysis in Community Ecology,1982,3506,Hugh G. Gauch,A5011040646,Ordination; Viewpoints; Multivariate statistics
W3104062568,LSST: From Science Drivers to Reference Design and Anticipated Data Products,2019,3496,Željko Ivezić; S. M. Kahn; J. A. Tyson; Bob Abel; Emily Elizabeth Acosta; R. A. Allsman; David Alonso; Yusra AlSayyad; Scott F. Anderson; John Andrew; J. R. P. Angel; George Z. Angeli; R. Ansari; P. Antilogus; Constanza Araujo; R. Armstrong; K. Arndt; P. Astier; É. Aubourg; Nicole Auza; T. S. Axelrod; Deborah Bard; Jeff Barr; A. Barrau; James G. Bartlett; A. Bauer; Brian Bauman; S. Baumont; Ellen Bechtol; K. Bechtol; A. C. Becker; Jacek Becla; C. Beldica; Steve Bellavia; Federica Bianco; Rahul Biswas; Guillaume Blanc; J. Blazek; R. D. Blandford; J. S. Bloom; J. R. Bogart; Tim Bond; Michael T. Booth; A. W. Borgland; K. D. Borne; James Bosch; D. Boutigny; Craig A. Brackett; Andrew Bradshaw; William Nielsen Brandt; Michael E. Brown; James S. Bullock; P. R. Burchat; D. L. Burke; G. Cagnoli; Daniel R. Calabrese; Shawn Callahan; Alice Callen; Jeffrey L. Carlin; Erin L. Carlson; Srinivasan Chandrasekharan; Glenaver Charles-Emerson; Steven R. Chesley; E. Cheu; Hsin‐Fang Chiang; J. Chiang; Carol Chirino; Derek Chow; David R. Ciardi; Charles F. Claver; J. Cohen-Tanugi; Joseph J. Cockrum; R. Coles; Andrew J. Connolly; Kem H. Cook; Asantha Cooray; Kevin R. Covey; Chris Cribbs; Wei Cui; R. M. Cutri; Philip N. Daly; Scott F. Daniel; Felipe Daruich; Guillaume Daubard; Greg Daues; William A. Dawson; Francisco Delgado; Alfred Dellapenna; Robert de Peyster; M. de Val-Borro; S. W. Digel; Peter Doherty; R. Dubois; Gregory P. Dubois-Felsmann; Josef Ďurech; Frossie Economou; T. F. Eifler; Michael Eracleous; Benjamin L. Emmons; Angelo Fausti Neto,A5054608563; A5024445224; A5082397592; A5000818727; A5007514728; A5078131747; A5057299715; A5022534023; A5008481255; A5105889821; A5104041818; A5022203774; A5103102913; A5012415830; A5113575735; A5029645787; A5063054570; A5110803018; A5106470311; A5000443419; A5018967758; A5046520638; A5001610640; A5031811470; A5104992999; A5040488268; A5111948447; A5004254848; A5081268313; A5054292749; A5072420646; A5071807382; A5050630916; A5059160607; A5004012698; A5020032349; A5106409086; A5073278093; A5035206337; A5068837797; A5064589795; A5032350860; A5042003638; A5042830686; A5005101389; A5049050717; A5034627288; A5061530612; A5054971322; A5108726872; A5034949137; A5017618068; A5108046070; A5054843975; A5027293119; A5010336957; A5040188353; A5023436031; A5028668031; A5022442253; A5061564317; A5091149628; A5021819630; A5105551504; A5059578918; A5030036718; A5006678627; A5018597336; A5076152149; A5068715104; A5106316067; A5007825493; A5075910779; A5051565479; A5111834075; A5072280155; A5077870084; A5056533137; A5100653960; A5022435015; A5024803143; A5104278173; A5041616465; A5052930254; A5000988640; A5070419829; A5057833853; A5107313953; A5084908793; A5021162139; A5070480015; A5083282249; A5112813776; A5102840002; A5009076447; A5056028840; A5065665797; A5040331573; A5043516293; A5104962317,Physics; Data science; Astronomy
W2978346165,Digital transformation: A multidisciplinary reflection and research agenda,2019,3488,Peter C. Verhoef; Thijs Broekhuizen; Yakov Bart; Abhi Bhattacharya; John Qi Dong; Nicolai Etienne Fabian; Michael Haenlein,A5063744940; A5037684556; A5073502448; A5042632989; A5067513315; A5075369384; A5002909072,Digitization; Digital transformation; Transformation (genetics)
W3094704314,"A review on genetic algorithm: past, present, and future",2020,3488,Sourabh Katoch; Sumit Singh Chauhan; Vijay Kumar,A5021963086; A5053462764; A5113696439,Computer science; Genetic algorithm; Fitness function
W4245627996,Mail and Internet Surveys: The Tailored Design Method,2007,3485,PETER M. CHISNALL,A5060966889,The Internet; Business; Advertising
W2100235918,A Survey of Collaborative Filtering Techniques,2009,3477,Xiaoyuan Su; Taghi M. Khoshgoftaar,A5111793964; A5089170562,Computer science; Collaborative filtering; Scalability
W2124957697,"Ontologies: principles, methods and applications",1996,3475,Mike Uschold; Michael Grüninger,A5110432944; A5067410702,Computer science; Ontology; Ambiguity
W2784322444,Self-report measurement of adult attachment: An integrative overview.,1998,3475,Kelly A. Brennan; Catherine L. Clark; Phillip R. Shaver,A5033363334; A5108534322; A5015026655,Psychology; Data science; Computer science
W2110899053,MEGA: A biologist-centric software for evolutionary analysis of DNA and protein sequences,2008,3470,Sudhir Kumar; M Nei; Joel T. Dudley; Koichiro Tamura,A5100680948; A5109177049; A5043599202; A5007823743,Mega-; Software; Phylogenetic tree
W2917207851,"The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2018 update",2018,3467,Enis Afgan; Dannon Baker; Bérénice Batut; Marius van den Beek; Dave Bouvier; Martin Čech; John Chilton; Dave Clements; Nate Coraor; Björn Grüning; Aysam Guerler; Jennifer Hillman‐Jackson; Saskia Hiltemann; Vahid Jalili; Helena Rasche; Nicola Soranzo; Jeremy Goecks; James Taylor; Anton Nekrutenko; Daniel Blankenberg,A5006951727; A5074340312; A5015993889; A5012506603; A5058980738; A5004909274; A5051693563; A5019027500; A5030446017; A5006559585; A5032668613; A5007050739; A5013915440; A5087600054; A5040233488; A5034974535; A5031069551; A5025611053; A5065292926; A5075101770,Galaxy; Interface (matter); Focus (optics)
W243303449,The Proteomics Protocols Handbook,2005,3466,John M. Walker,A5054773163,Computer science; Proteome; Proteomics
W3047879827,The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,2020,3463,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia; Sabina Alam; Marc T. Avey; Monya Baker; William J. Browne; Alejandra Clark; Innes C. Cuthill; Ulrich Dirnagl; Michael Emerson; Paul Garner; Stephen T. Holgate; David W. Howells; Natasha A. Karp; Stanley E. Lazic; Katie Lidster; Catriona J. MacCallum; Malcolm Macleod; Esther J. Pearl; Ole H. Petersen; Frances Rawle; Penny S. Reynolds; Kieron Rooney; Emily S. Sena; Shai D. Silberberg; Thomas Steckler; Hanno Würbel,A5026693514; A5044648327; A5020788754; A5046802875; A5009089580; A5113959880; A5087656450; A5043772847; A5004753412; A5046050028; A5019284502; A5007223498; A5089020623; A5056972691; A5056701344; A5021724057; A5035251091; A5038121314; A5101814630; A5009072337; A5065549009; A5046758954; A5037671046; A5004269545; A5046357692; A5083997685; A5040568010; A5112549766,Rigour; Checklist; Transparency (behavior)
W2042464037,Adaptive Management of Renewable Resources.,1987,3435,Amy Rutherford; Caroline E. Walters,A5064804283; A5074313191,Adaptive management; Management science; Computer science
W2092553756,Analytic hierarchy process: An overview of applications,2004,3433,Omkarprasad S. Vaidya; Sushil Kumar,A5027394515; A5028134175,Analytic hierarchy process; Computer science; Management science
W2128677857,The interdisciplinary study of coordination,1994,3430,Thomas W. Malone; Kevin Crowston,A5079825006; A5007861624,Computer science; Perspective (graphical); Process (computing)
W261461018,Synchronization in complex networks,2008,3430,Àlex Arenas; Albert Dı́az-Guilera; Jürgen Kurths; Yamir Moreno; Changsong Zhou,A5027588100; A5028347915; A5085207296; A5084793824; A5029297296,Synchronization (alternating current); Complex network; Complex system
W2131646073,Cloud computing: state-of-the-art and research challenges,2010,3429,Qi Zhang; Cheng Lü; Raouf Boutaba,A5100360194; A5022914600; A5038723583,Cloud computing; Provisioning; Computer science
W1500549500,Research in Education: A Conceptual Introduction,1984,3423,James H. McMillan; Sally Schumacher,A5078699068; A5088028200,Research design; Educational research; Data collection
W2790979755,Deep learning in agriculture: A survey,2018,3418,Andreas Kamilaris; Francesc X. Prenafeta‐Boldú,A5007428307; A5068243518,Deep learning; Artificial intelligence; Computer science
W1575698009,A step-by-step approach to using the SAS system for factor analysis and structural equation modeling,1995,3414,Larry Hatcher,A5073846396,LISREL; Structural equation modeling; Computer science
W2219888463,The MovieLens Datasets,2015,3411,F. Maxwell Harper; Joseph A. Konstan,A5029009966; A5037387341,MovieLens; Computer science; Perspective (graphical)
W1680797894,Encyclopedia of Machine Learning,2010,3398,Claude Sammut; Geoffrey I. Webb,A5015779172; A5058054791,Encyclopedia; Computer science; Artificial intelligence
W2101270539,"Making sense of implementation theories, models and frameworks",2015,3396,Per Nilsén,A5044420007,Process (computing); Computer science; Management science
W1528119265,Statistical Parametric Mapping: The Analysis of Functional Brain Images,2007,3395,W.D. Penny; Karl Friston; John Ashburner; Stefan J. Kiebel; Nichols Thomas,A5023717049; A5086852785; A5029410349; A5013850547; A5030609122,Magnetoencephalography; Modalities; Statistical parametric mapping
W3121175530,Studying Information Technology in Organizations: Research Approaches and Assumptions,1991,3394,Wanda J. Orlikowski; Jack J. Baroudi,A5007990980; A5042207596,Perspective (graphical); Set (abstract data type); Information system
W2905810301,A guide to deep learning in healthcare,2018,3385,Andre Esteva; Alexandre Robicquet; Bharath Ramsundar; Volodymyr Kuleshov; Mark A. DePristo; Katherine Chou; Claire Cui; Greg S. Corrado; Sebastian Thrun; Jeff Dean,A5070015743; A5055600161; A5039641760; A5021338648; A5055476069; A5070366042; A5077034022; A5068955381; A5066710774; A5011889606,Deep learning; Computer science; Artificial intelligence
W3028304854,Visualizing and interpreting cancer genomics data via the Xena platform,2020,3384,Mary J. Goldman; Brian Craft; Mim Hastie; Kristupas Repečka; Fran McDade; Akhil Kamath; Ayan Banerjee; Yunhai Luo; Dave Rogers; Angela N. Brooks; Jingchun Zhu; David Haussler,A5062482163; A5016664317; A5061466542; A5057587039; A5067608125; A5053886397; A5100606339; A5078764614; A5014429383; A5087046325; A5059839433; A5090849321,Genomics; Computational biology; Biology
W1499955781,SPSS: statistical package for the social sciences,1975,3380,Norman H. Nie,A5048229410,R package; Computer science; Data science
W2053515873,"Specification, evaluation, and interpretation of structural equation models",2011,3379,Richard P. Bagozzi; Youjae Yi,A5068331895; A5025102458,Compendium; Underpinning; Structural equation modeling
W1990869665,Recent developments in Geant4,2016,3372,John E. Allison; K. Amako; J. Apostolakis; P. Arce; M. Asai; Tsukasa Aso; E. Bagli; A. Bagulya; Sw. Banerjee; Guy Barrand; Belinda R. Beck; A. Bogdanov; D. Brandt; Jeremy M. C. Brown; H. Burkhardt; Philippe Canal; D. Cano‐Ott; Stéphane Chauvie; K. Cho; G.A.P. Cirrone; Gene Cooperman; M. A. Cortés‐Giraldo; G. Cosmo; G. Cuttone; G. Depaola; L. Desorgher; X. Dong; A. Dotti; V. D. Elvira; G. Folger; Z. Francis; A. Galoyan; Laurent Garnier; Marek Gayer; K. Genser; V. Grichine; Susanna Guatelli; P. Guèye; P. Gumplinger; A. Howard; I. Hřivnáčová; S. H. Hwang; S. Incerti; A. Ivanchenko; V. Ivanchenko; F.W. Jones; S. Y. Jun; P Kaitaniemi; Nicolas A. Karakatsanis; M. Karamitros; M.H. Kelsey; Akira Kimura; T. Koi; H. Kurashige; Anton Lechner; S.B. Lee; F. Longo; M. Maire; Davide Mancusi; A. Mantero; E. Mendoza; Benjamin J. Morgan; K. Murakami; T Nikitina; L. Pandola; P. Paprocki; Joseph Perl; Ivan Petrović; Maria Grazia Pia; Witold Pokorski; J. M. Quesada; M. Raine; M.A. Reis; A. Ribon; Aleksandra Ristic‐Fira; F. Romanò; G. Russo; G. Santin; T. Sasaki; D Sawkey; B. K. Shin; I. I. Strakovsky; A. Taborda; S. Tanaka; B. Tomé; T. Toshito; H.N. Tran; P.R. Truscott; László Urbán; V. Uzhinsky; J.M. Verbeke; M. Verderi; B. Wendt; H. Wenzel; D. H. Wright; D. Wright; Tomohiro Yamashita; J. Yarba; H. Yoshida,A5102846098; A5111862996; A5056196917; A5053120153; A5101623396; A5011622969; A5080096887; A5050509184; A5115739212; A5005804616; A5055107495; A5048190390; A5079890205; A5015421956; A5106852621; A5090423723; A5064515121; A5047187911; A5108106018; A5058706916; A5070983794; A5107426085; A5053210927; A5086202004; A5078458268; A5107409089; A5001928806; A5105683372; A5107900789; A5075676762; A5047709858; A5106550868; A5068011265; A5008363720; A5106497443; A5090050350; A5068840916; A5090446532; A5003526591; A5114072579; A5071552823; A5113810073; A5070217555; A5003962867; A5011037729; A5002338136; A5037827967; A5071986085; A5018357052; A5042203175; A5108494634; A5048930001; A5107833041; A5064860139; A5003732374; A5039970364; A5100626378; A5108421497; A5083832806; A5035484274; A5105832744; A5070797735; A5002373101; A5041355113; A5076589480; A5024952858; A5018730722; A5067312290; A5000517206; A5048995870; A5108167140; A5066324065; A5070786227; A5105359013; A5101467590; A5034192733; A5011638733; A5078790563; A5110018707; A5010542964; A5111332203; A5107900751; A5002679125; A5107861692; A5083047383; A5114376661; A5043951414; A5017004982; A5057748431; A5010705932; A5058107357; A5075757994; A5025691886; A5103058731; A5107861197; A5051777395; A5049728635; A5057244690; A5056475101,Exploit; Multithreading; Computer science
W2766085136,A Practical Beginner’s Guide to Cyclic Voltammetry,2017,3370,Noémie Elgrishi; Kelley Rountree; Brian D. McCarthy; Eric S. Rountree; Thomas T. Eisenhart; Jillian L. Dempsey,A5077137772; A5003778648; A5078358551; A5077946136; A5003234848; A5086938567,Coursework; Cyclic voltammetry; Popularity
W2131601454,Design Experiments in Educational Research,2003,3368,Paul Cobb; Jere Confrey; Andrea A. diSessa; Richard Lehrer; Leona Schauble,A5072233503; A5075751489; A5033200742; A5007351380; A5073541262,Variety (cybernetics); Computer science; Measure (data warehouse)
W3181414820,A Survey on Bias and Fairness in Machine Learning,2021,3362,Ninareh Mehrabi; Fred Morstatter; Nripsuta Ani Saxena; Kristina Lerman; Aram Galstyan,A5056269049; A5002709735; A5091625866; A5049634383; A5101715504,Computer science; Artificial intelligence; Taxonomy (biology)
W2039062275,A Text-Book of Practical Organic Chemistry,1948,3350,J. W. Cook,A5102883978,Chemistry; Data science; Computer science
W1993933064,A Survey Method for Characterizing Daily Life Experience: The Day Reconstruction Method,2004,3346,Daniel Kahneman; Alan B. Krueger; David Schkade; Norbert Schwarz; Arthur A. Stone,A5111995000; A5108453089; A5006413916; A5034259217; A5042633565,Experience sampling method; Recall; Sampling (signal processing)
W1966811787,"A practical guide to MaxEnt for modeling species' distributions: what it does, and why inputs and settings matter",2013,3333,Cory Merow; Matthew J. Smith; John A. Silander,A5006070240; A5101851278; A5009427375,Computer science; Variety (cybernetics); Prospectus
W2116351152,Contemporary Definitions and Classification of the Cardiomyopathies,2006,3327,Barry J. Maron; Jeffrey A. Towbin; Gaetano Thiene; Charles Antzelevitch; Domenico Corrado; Donna K. Arnett; Arthur J. Moss; Christine E. Seidman; James B. Young,A5048131213; A5090814913; A5022167195; A5005749391; A5031012881; A5026873580; A5105837079; A5005091829; A5006688566,Medicine; CLARITY; Classification scheme
W2108646579,Sentiment Analysis and Opinion Mining,2017,3315,Lei Zhang; Bing Liu,A5101443524; A5100339927,Sentiment analysis; Data science; Social media
W2162061662,A Conceptual and Operational Definition of Personal Innovativeness in the Domain of Information Technology,1998,3313,Ritu Agarwal; Jayesh Prasad,A5081578599; A5041301136,Construct (python library); Knowledge management; Information technology
W1990248849,Research methods in the social sciences,2005,3310,David. Nachmias; Chava Nachmias,A5054447725; A5023390717,Computer science; Data science; Statement (logic)
W3125554979,Making the Most of Statistical Analyses: Improving Interpretation and Presentation,2000,3309,Gary King; Michael Tomz; Jason Wittenberg,A5087421071; A5056371148; A5020119183,Presentation (obstetrics); Interpretation (philosophy); Sentence
W3193477162,"A TUTORIAL ON SUPPORT VECTOR MACHINES FOR PATTERN RECOGNITION, DATA MINING AND KNOWLEDGE DISCOVERY",1998,3309,Burger C.J.C.,A5057905171,Computer science; Knowledge extraction; Support vector machine
